able,1
about,7
above,4
across,1
afraid,1
after,4
afternoon,1
again,8
against,6
ahead,1
air,3
alder,1
alive,1
all,10
almost,3
along,9
already,3
am,2
among,2
an,7
ancient,2
and,120
anger,2
another,4
answer,1
any,2
appeared,1
apple,1
are,4
arms,1
arose,1
around,1
aroused,1
as,25
asked,2
asleep,2
at,12
awakening,1
away,7
axe,1
back,7
backs,1
band,1
bank,3
bare,1
bark,1
barrow,1
bathe,1
battered,1
be,10
beam,1
beard,1
beastly,1
beat,1
became,1
beckoning,1
become,1
been,4
before,5
began,6
begged,1
begin,3
beginning,1
behave,1
behind,7
being,1
bellows,1
bells,1
berry,1
beyond,1
big,3
bits,1
black,1
blow,1
blown,1
blue,3
bom,1
bombadil,7
bombadillo,1
boots,1
bordered,1
borders,1
both,2
bough,1
boughs,2
bound,1
boxes,1
branch,2
branches,6
brandywine,1
bread,1
breaking,1
breathlessly,1
bright,3
brightly,1
bringing,2
broken,1
brought,2
brown,2
bucklebury,1
budding,1
burst,3
bushes,1
but,10
butter,1
buzzing,1
by,6
came,6
can,3
candles,1
carefully,1
carelessly,1
carried,1
catch,1
caught,4
cavern,1
charging,1
chink,1
chopped,1
chopping,1
clamour,1
clear,4
clearer,1
click,1
clipped,1
close,1
closed,3
closes,1
cloudy,1
coat,1
cold,2
come,8
comes,1
compelling,1
complete,1
cool,3
coughed,1
could,6
country,1
cow,1
crack,7
crackled,1
cracks,2
creak,1
creaked,2
cream,1
creased,1
crickhollow,1
cried,7
crown,1
crush,1
crying,1
curl,1
dancing,2
danger,1
dark,4
darkness,1
darling,1
daughter,2
day,1
dazzled,1
deep,2
deny,1
derry,3
desire,1
desperate,1
dew,1
did,2
difficult,1
difficulty,1
dig,1
dillo,1
disappeared,1
do,4
dol,8
dong,2
dont,6
door,3
doorstep,1
dot,2
doubt,1
doubtfully,1
down,16
downs,1
dragged,2
dragonets,1
drawn,1
dreadful,1
dream,2
dreaming,1
dreams,1
drew,1
drink,3
dropped,1
drowned,1
dry,3
dusk,1
earth,1
eastern,1
eastward,1
eat,1
eaves,1
edge,2
edges,2
effort,1
eh,1
either,1
enchanted,1
end,1
enormous,1
enough,4
evening,2
ever,1
evidently,1
expect,1
eyes,3
face,1
faces,2
faint,1
fainter,1
faintly,1
fal,1
fall,2
fallen,1
falling,3
far,3
fast,5
fear,2
fears,1
feather,2
feathered,1
feel,4
feet,8
fell,5
fellows,2
felt,4
fiercely,1
fighting,1
fingered,1
fingers,1
fire,3
firewood,2
first,1
fissures,1
flame,1
flies,1
floating,1
flowed,2
flowing,1
flurry,1
fluttering,2
foam,1
follow,3
followed,1
fond,1
foot,1
for,13
forest,5
forward,3
foul,1
found,2
frantically,1
freeze,1
friends,2
frighten,1
frodo,15
from,12
front,1
fun,1
further,4
furtive,1
gaped,1
gaping,1
gathered,1
gave,1
gentle,1
gently,1
getting,1
give,1
glad,2
gleam,1
glimmer,1
glinting,1
glittering,1
gloomed,1
gnarled,2
gnaw,1
go,2
goes,2
going,5
goldberry,3
golden,1
gollum,82
good,1
got,2
grass,7
grassy,1
great,7
greet,1
grew,1
grey,5
gripped,2
groping,1
ground,2
had,18
half,5
halloo,1
hand,2
hands,3
hanging,1
happen,1
happily,1
hardly,2
hark,1
hat,1
hatchet,2
hauled,1
have,2
havent,1
having,1
he,45
head,1
heads,1
heaped,1
hear,4
heard,4
hearing,1
hearties,1
heather,1
heavy,3
hedge,1
heed,1
heedless,1
held,1
hell,1
help,4
here,2
hey,7
high,2
hill,3
hills,1
hillside,1
him,17
himself,4
his,25
hiss,1
hoary,2
hobbit,1
hobbits,6
holding,2
home,3
honeycomb,1
hop,4
hoped,1
hopeful,1
hopping,3
hot,1
house,2
huge,1
hundred,1
hundreds,1
hung,2
hurried,1
hurry,2
hurt,1
i,16
idegollum,2
if,11
in,28
inside,4
into,14
is,4
it,27
its,3
jacket,1
jaws,1
jolly,1
just,3
kick,1
kicked,3
kindle,1
kindled,1
knobbly,1
knoll,1
knotted,1
know,3
laden,1
lady,1
laid,1
lain,1
lal,1
land,1
large,2
late,1
laughing,1
laughter,2
lay,4
leaden,1
leaf,3
leaning,1
leaping,2
leaves,7
led,1
leered,1
left,2
legs,4
length,1
let,6
licked,1
lifted,1
light,8
lights,2
like,10
lilies,7
listened,1
little,6
lock,1
long,6
looked,3
lost,1
loud,5
loudly,1
low,1
luggage,1
lying,1
made,2
man,7
many,1
marrow,1
master,1
matter,1
me,8
meet,2
mended,1
merrily,1
merry,17
might,4
mingled,1
minute,2
mist,1
mists,2
moon,1
more,2
morning,1
mouth,2
moved,1
moving,1
mown,1
mr,2
much,1
muffled,1
murmur,1
must,1
muttered,1
my,8
naught,1
neither,1
new,1
night,4
no,5
noise,4
noises,2
nonsense,2
nonsensically,1
nor,1
not,6
noticed,1
now,12
o,2
of,70
off,4
old,10
ominous,1
on,22
once,2
one,7
only,1
open,4
opened,1
opening,1
or,6
other,7
others,2
our,1
out,20
outside,1
outwards,1
over,6
overpowering,1
own,2
paddled,1
pain,1
pair,1
pale,2
panes,1
parties,1
path,9
peered,1
people,1
perceptible,1
picked,1
pile,2
pincers,1
pippin,6
place,1
plain,1
ponies,4
pool,1
poor,2
pretty,1
prisoners,1
puffed,1
puffing,1
pull,1
pulled,1
put,5
queer,1
questions,1
quick,1
quickly,1
quiet,1
quietly,1
quite,2
rain,1
ran,8
rate,1
reaching,1
receive,1
red,1
reeds,3
relieved,1
rest,2
rind,1
ring,2
ripe,1
ripples,1
rise,1
rising,2
river,7
riverward,1
roasting,1
rolled,1
root,5
roots,4
rose,1
round,5
running,1
rushed,1
rushes,1
rushing,1
rustled,1
said,8
sam,16
sat,1
saw,3
saying,1
says,1
scorched,1
scored,1
scratched,1
scream,1
see,1
seemed,10
seen,1
seized,1
set,1
setting,1
shadows,2
shadowy,1
shady,1
shall,1
shapes,1
shaven,1
shining,2
shiver,1
short,3
should,1
shoulder,1
shouldnt,1
shouted,2
shrill,1
shudder,1
shut,1
side,6
sight,1
silence,1
silently,1
silver,1
sing,4
singing,10
sink,1
sinks,1
sit,1
sky,3
slanting,1
sleep,4
sleepiness,1
sleepy,1
slender,1
slope,1
slopped,1
slowing,1
slumber,1
slumping,1
small,2
smoke,1
smooth,2
smote,1
snap,1
snick,1
so,7
soft,2
softly,1
some,1
someone,1
something,3
song,8
soon,6
sort,1
sound,4
spark,1
sparks,1
spell,1
splash,1
split,1
spluttered,1
sprang,2
sprawling,1
spreading,1
spring,1
squeeze,1
squeezed,1
staggered,1
stalked,1
stammered,1
stamped,1
standstill,1
starlight,1
starling,1
starry,1
stars,2
steady,1
steam,1
steep,1
stem,1
stepped,1
sticking,1
sticks,1
stiff,2
still,4
stir,1
stone,2
stood,3
stooping,1
stopped,2
straddled,1
straining,1
strange,1
stray,1
stream,1
strength,1
stretched,1
string,1
struck,3
struggled,2
struggling,1
stuck,1
stumbling,1
succeed,1
such,1
sudden,1
suddenly,8
suggested,1
sun,4
sunlight,1
supper,1
suppose,1
surface,1
surprised,1
sway,1
swayed,1
sweep,1
swift,1
swiftly,1
table,2
talk,1
talking,1
tall,2
tearing,1
tell,1
tended,1
than,3
thank,1
that,24
the,185
their,11
them,21
themselves,2
then,14
there,15
these,2
they,28
thick,1
thing,1
thinking,1
this,8
though,2
thought,3
threatening,1
threshold,1
threw,1
through,5
time,1
tinder,2
tip,1
tipped,1
tired,1
to,51
together,3
tom,17
too,4
top,1
toppled,1
towards,3
trapped,1
tray,1
tree,18
trees,5
tremor,1
trim,1
trouble,1
trunk,4
trunks,1
trust,1
try,1
tuck,1
tune,1
turf,1
turned,1
twigs,2
twilight,1
twinkle,1
twinkling,1
twisted,2
two,4
uncanny,1
under,5
understood,1
unreal,1
up,18
upon,4
us,2
use,1
useless,1
valley,1
vanished,1
very,3
view,1
violently,1
voice,6
waist,1
wait,2
waiting,3
waking,1
wand,1
wandered,2
warm,1
was,30
water,13
wave,1
way,1
we,9
weariness,1
weather,2
well,2
welling,1
went,4
were,8
west,1
what,10
when,3
where,5
which,3
while,1
whispered,2
white,4
who,2
whogollum,2
whole,2
why,2
wide,4
widening,1
wildly,1
will,9
willow,16
wind,6
winding,1
window,1
windows,1
wish,1
with,26
without,1
withywindle,1
witless,1
woke,1
woman,1
wonder,1
wont,1
wood,1
words,5
worried,1
worse,1
wouldnt,1
wound,1
wrinkles,1
yawned,1
yell,1
yellow,6
you,21
young,1
your,2
